test_data,V2,mcat1,rating1,mcat2,rating2
27666072,   __label__Rejected 1.00001 __label__Approved 1.07355e-0,Rejected,1.00001,Approved,0
77085205,   __label__Rejected 0.971531 __label__Approved 0.028489,Rejected,0.971531,Approved,0.028489
18806419,   __label__Rejected 0.949537 __label__Approved 0.050483,Rejected,0.949537,Approved,0.050483
31361896,   __label__Rejected 1.00001 __label__Approved 1e-0,Rejected,1.00001,Approved,0
33864523,   __label__Rejected 0.591008 __label__Approved 0.40901,Rejected,0.591008,Approved,0.40901
34647513,   __label__Rejected 1.00001 __label__Approved 1e-0,Rejected,1.00001,Approved,0
61616661,   __label__Rejected 0.99697 __label__Approved 0.0030505,Rejected,0.99697,Approved,0.0030505
68611438,   __label__Rejected 0.883927 __label__Approved 0.11609,Rejected,0.883927,Approved,0.11609
73960039,   __label__Rejected 0.999076 __label__Approved 0.00094412,Rejected,0.999076,Approved,0.00094412
60259383,   __label__Rejected 0.918628 __label__Approved 0.08139,Rejected,0.918628,Approved,0.08139
73545959,   __label__Rejected 0.999604 __label__Approved 0.00041626,Rejected,0.999604,Approved,0.00041626
71787677,   __label__Rejected 0.98649 __label__Approved 0.013530,Rejected,0.98649,Approved,0.01353
112048389,   __label__Rejected 0.914811 __label__Approved 0.085208,Rejected,0.914811,Approved,0.085208
29002721,   __label__Rejected 1.00001 __label__Approved 1e-0,Rejected,1.00001,Approved,0
84770704,   __label__Rejected 1.00001 __label__Approved 1e-0,Rejected,1.00001,Approved,0
70759618,   __label__Rejected 1.00001 __label__Approved 1.00001e-0,Rejected,1.00001,Approved,0
64724586,   __label__Rejected 1.00001 __label__Approved 1.02366e-0,Rejected,1.00001,Approved,0
74308563,   __label__Rejected 0.999677 __label__Approved 0.00034311,Rejected,0.999677,Approved,0.00034311
99457034,   __label__Rejected 0.950971 __label__Approved 0.049048,Rejected,0.950971,Approved,0.049048
11481391,   __label__Rejected 1.00001 __label__Approved 1.00058e-0,Rejected,1.00001,Approved,0
77310882,   __label__Rejected 0.998473 __label__Approved 0.0015469,Rejected,0.998473,Approved,0.0015469
74683964,   __label__Rejected 0.839808 __label__Approved 0.16021,Rejected,0.839808,Approved,0.16021
85685652,   __label__Rejected 0.999991 __label__Approved 2.86529e-0,Rejected,0.999991,Approved,0
71546160,   __label__Rejected 1 __label__Approved 1.714e-0,Rejected,1,Approved,0
73957459,   __label__Rejected 1 __label__Approved 1.55425e-0,Rejected,1,Approved,0
40871209,   __label__Rejected 1.00001 __label__Approved 1.00096e-0,Rejected,1.00001,Approved,0
28941686,   __label__Rejected 1.00001 __label__Approved 1.00268e-0,Rejected,1.00001,Approved,0
71282345,   __label__Rejected 0.986436 __label__Approved 0.013584,Rejected,0.986436,Approved,0.013584
49216445,   __label__Rejected 0.997953 __label__Approved 0.0020669,Rejected,0.997953,Approved,0.0020669
107125992,   __label__Rejected 0.995154 __label__Approved 0.00486,Rejected,0.995154,Approved,0.00486
86578479,   __label__Rejected 1.00001 __label__Approved 1.16725e-0,Rejected,1.00001,Approved,0
72507038,   __label__Rejected 1.00001 __label__Approved 1.17695e-0,Rejected,1.00001,Approved,0
53789755,   __label__Approved 0.997351 __label__Rejected 0.0026690,Approved,0.997351,Rejected,0.002669
72911873,   __label__Rejected 1.00001 __label__Approved 1.06112e-0,Rejected,1.00001,Approved,0
50658567,   __label__Rejected 0.816633 __label__Approved 0.18338,Rejected,0.816633,Approved,0.18338
69007768,   __label__Rejected 0.977035 __label__Approved 0.022984,Rejected,0.977035,Approved,0.022984
45074630,   __label__Rejected 1.00001 __label__Approved 1.12664e-0,Rejected,1.00001,Approved,0
85542014,   __label__Rejected 0.999974 __label__Approved 4.64817e-0,Rejected,0.999974,Approved,0
71929491,   __label__Rejected 1.00001 __label__Approved 1.00002e-0,Rejected,1.00001,Approved,0
17089461,   __label__Rejected 0.933154 __label__Approved 0.066865,Rejected,0.933154,Approved,0.066865
76875932,   __label__Rejected 0.999077 __label__Approved 0.00094325,Rejected,0.999077,Approved,0.00094325
58230126,   __label__Rejected 1.00001 __label__Approved 1.08707e-0,Rejected,1.00001,Approved,0
87314484,   __label__Rejected 0.991647 __label__Approved 0.0083732,Rejected,0.991647,Approved,0.0083732
62964340,   __label__Rejected 1.00001 __label__Approved 1.00128e-0,Rejected,1.00001,Approved,0
11718442,   __label__Rejected 0.999772 __label__Approved 0.00024750,Rejected,0.999772,Approved,0.0002475
75450690,   __label__Rejected 0.999943 __label__Approved 7.67885e-0,Rejected,0.999943,Approved,0
82078736,   __label__Rejected 0.993545 __label__Approved 0.0064753,Rejected,0.993545,Approved,0.0064753
33518662,   __label__Rejected 1.00001 __label__Approved 1.02588e-0,Rejected,1.00001,Approved,0
75011335,   __label__Rejected 0.995332 __label__Approved 0.0046881,Rejected,0.995332,Approved,0.0046881
69158884,   __label__Rejected 0.999997 __label__Approved 2.33571e-0,Rejected,0.999997,Approved,0
58281965,   __label__Rejected 1.00001 __label__Approved 1.0034e-0,Rejected,1.00001,Approved,0
49743377,   __label__Rejected 0.994616 __label__Approved 0.0054040,Rejected,0.994616,Approved,0.005404
54236747,   __label__Rejected 0.999514 __label__Approved 0.00050563,Rejected,0.999514,Approved,0.00050563
72999052,   __label__Rejected 0.99915 __label__Approved 0.00087053,Rejected,0.99915,Approved,0.00087053
76354874,   __label__Rejected 0.999986 __label__Approved 3.40436e-0,Rejected,0.999986,Approved,0
71736419,   __label__Rejected 0.786771 __label__Approved 0.21324,Rejected,0.786771,Approved,0.21324
68058804,   __label__Approved 0.998874 __label__Rejected 0.0011457,Approved,0.998874,Rejected,0.0011457
65789782,   __label__Rejected 0.999933 __label__Approved 8.72086e-0,Rejected,0.999933,Approved,0
32647613,   __label__Approved 0.957863 __label__Rejected 0.042156,Approved,0.957863,Rejected,0.042156
46747327,   __label__Approved 0.97971 __label__Rejected 0.020310,Approved,0.97971,Rejected,0.02031
79330415,   __label__Rejected 0.979672 __label__Approved 0.020347,Rejected,0.979672,Approved,0.020347
64790981,   __label__Rejected 0.997509 __label__Approved 0.0025109,Rejected,0.997509,Approved,0.0025109
60621218,   __label__Rejected 0.999862 __label__Approved 0.0001581,Rejected,0.999862,Approved,0.0001581
11191795,   __label__Rejected 0.999201 __label__Approved 0.00081885,Rejected,0.999201,Approved,0.00081885
65136277,   __label__Rejected 1.00001 __label__Approved 1.00541e-0,Rejected,1.00001,Approved,0
50305541,   __label__Rejected 0.917107 __label__Approved 0.082913,Rejected,0.917107,Approved,0.082913
72740816,   __label__Rejected 0.993272 __label__Approved 0.0067476,Rejected,0.993272,Approved,0.0067476
