65510270   __label__Approved 0.999997 __label__Rejected 2.28746e-05
70843490   __label__Rejected 1 __label__Approved 1.84223e-05
33681488   __label__Approved 1.00001 __label__Rejected 1e-05
63479008   __label__Rejected 1.00001 __label__Approved 1.00124e-05
54782821   __label__Approved 0.997424 __label__Rejected 0.00259619
56889450   __label__Approved 0.999174 __label__Rejected 0.000845657
57961760   __label__Approved 0.998101 __label__Rejected 0.0019192
75441881   __label__Approved 0.989585 __label__Rejected 0.0104346
90667424   __label__Rejected 0.996772 __label__Approved 0.00324824
10660500   __label__Approved 1.00001 __label__Rejected 1.44107e-05
79506052   __label__Approved 0.998647 __label__Rejected 0.00137346
67377474   __label__Approved 0.999864 __label__Rejected 0.000156151
30977145   __label__Approved 0.981709 __label__Rejected 0.0183109
50542844   __label__Rejected 0.992744 __label__Approved 0.00727555
46784433   __label__Approved 0.998996 __label__Rejected 0.00102382
13165518   __label__Rejected 0.999445 __label__Approved 0.000575158
68390390   __label__Rejected 1.00001 __label__Approved 1.00318e-05
29939439   __label__Rejected 0.991262 __label__Approved 0.00875846
69198455   __label__Rejected 0.968597 __label__Approved 0.0314232
64373312   __label__Approved 0.986333 __label__Rejected 0.013687
110098825   __label__Rejected 1 __label__Approved 1.64384e-05
69867776   __label__Approved 0.862357 __label__Rejected 0.137663
31368410   __label__Approved 0.895574 __label__Rejected 0.104446
33886626   __label__Rejected 0.999911 __label__Approved 0.000109034
67874094   __label__Approved 0.999918 __label__Rejected 0.000101791
54827856   __label__Rejected 0.999894 __label__Approved 0.000126322
34853279   __label__Rejected 1.00001 __label__Approved 1.18099e-05
67458844   __label__Approved 0.995139 __label__Rejected 0.00488089
23314344   __label__Rejected 1.00001 __label__Approved 1.0021e-05
35840065   __label__Rejected 0.999833 __label__Approved 0.000186958
20713626   __label__Rejected 0.996391 __label__Approved 0.00362881
49282168   __label__Approved 0.986862 __label__Rejected 0.0131582
64387759   __label__Rejected 0.986603 __label__Approved 0.0134167
70521553   __label__Approved 1.00001 __label__Rejected 1.10729e-05
76346953   __label__Rejected 1 __label__Approved 1.51692e-05
99452075   __label__Approved 0.999923 __label__Rejected 9.65459e-05
79395643   __label__Approved 0.995913 __label__Rejected 0.00410705
31131996   __label__Approved 0.999869 __label__Rejected 0.000150548
57906551   __label__Approved 1.00001 __label__Rejected 1e-05
10996488   __label__Rejected 0.887083 __label__Approved 0.112937
62555297   __label__Rejected 0.932307 __label__Approved 0.0677133
71273555   __label__Approved 0.998536 __label__Rejected 0.00148355
60842656   __label__Approved 1.00001 __label__Rejected 1.01192e-05
27100444   __label__Approved 1.00001 __label__Rejected 1e-05
59307654   __label__Approved 0.977229 __label__Rejected 0.0227908
18591584   __label__Approved 0.899695 __label__Rejected 0.100325
33506685   __label__Approved 0.999924 __label__Rejected 9.58307e-05
46724362   __label__Approved 0.999665 __label__Rejected 0.000354753
34105531   __label__Approved 0.999944 __label__Rejected 7.6042e-05
71636243   __label__Approved 1.00001 __label__Rejected 1.01192e-05
49141608   __label__Rejected 1.00001 __label__Approved 1.00037e-05
29506347   __label__Approved 0.999822 __label__Rejected 0.000197695
49581296   __label__Rejected 1.00001 __label__Approved 1.08724e-05
50278504   __label__Rejected 0.995982 __label__Approved 0.00403778
72287006   __label__Rejected 0.999693 __label__Approved 0.00032739
71070582   __label__Rejected 1.00001 __label__Approved 1e-05
77237752   __label__Approved 0.999301 __label__Rejected 0.000718819
70153205   __label__Approved 0.992709 __label__Rejected 0.00731067
13685115   __label__Rejected 0.880809 __label__Approved 0.119211
13639762   __label__Approved 0.999516 __label__Rejected 0.000504003
31794873   __label__Approved 0.999051 __label__Rejected 0.000968979
64487952   __label__Approved 0.998249 __label__Rejected 0.00177096
25772630   __label__Approved 1.00001 __label__Rejected 1.15497e-05
75158649   __label__Approved 0.999477 __label__Rejected 0.000543163
20582850   __label__Rejected 0.996078 __label__Approved 0.00394221
13945438   __label__Approved 0.994174 __label__Rejected 0.00584619
33844621   __label__Approved 1.00001 __label__Rejected 1.01192e-05
104244874   __label__Approved 1.00001 __label__Rejected 1e-05
110290023   __label__Approved 0.999968 __label__Rejected 5.22001e-05
84343165   __label__Approved 1.00001 __label__Rejected 1e-05
70929613   __label__Approved 0.948054 __label__Rejected 0.0519664
31386344   __label__Approved 0.990936 __label__Rejected 0.00908409
